target,predictor,split
0, leoblakecarter this dog thinks he s an ambulance ? ? ? ? ? ? http t . co mg lpgr rm natasha rideout,train
0, envw nickcocofree juliedicaro jdabe i asked how did he feel attacked by julie . i asked if he was frail . that is all . ,train
0, detroitpls interested to see who will win this battle,train
0,the annihilation of jeb christie amp kasich is less than hours away . . please god allow me at least one more full day . . . ,train
0,rt alisonannyoung exclusive fedex no longer to transport research specimens of bioterror pathogens in wake of anthrax lab mishaps ,train
0, seconds of summer is my pick for http t . co j wseptxga fan army sosfam http t . co qwgiwc w z,train
0,was in nyc last week ! ,train
0,what a feat ! watch the bts of kallemattson s incredible music video for avalanche https t . co w sea tuv ? ? ? ? ,train
0, pbban temporary russaky armageddon do not kill flags only fast xp for reason,train
0, colorado avalanche men s official colorado avalanche reebok t shirt xl blue cotton http t . co znsvstgwx nhl hockey,train
0,why some traffic is freezing cold and some blazing hot and how to heat up some of your traffic http t . co c b ddiqig,train
0, thenissonian rejectdcartoons nissan are you ok do you need medical assistance i can call an ambulance if you need me to,train
0,just completely annihilated cech with paul keegan what a time to be alive,train
0,what really happened in the taken king story trailer . a space battle that ripped a hole in saturn . eytay neur sis http t . co zyrzx dfki,train
0,i wanted to set chicago ablaze with my preaching . . . but not my hotel ! http t . co o qknbfofx,train
0, there is no victory at bargain basement prices . dwight david eisenhower,train
0, ir icemoon aftershock http t . co thyzomvwu djicemoon dubstep trapmusic dnb edm dance ices http t . co joo xk ,train
0,im feeling attacked http t . co jvycxxvi,train
0,a fun filled happy hour at simmons bar in camden with this handsome one ? ? i got annihilated apart from this game http t . co jno zkv,train
0, alexandrapullin it is indeed . if the apocalypse comes this week i know where i ll be ,train
0,has an accident changed your life ? we will help you determine options that can financially support life care plans and on going treatment . ,train
0,black eye a space battle occurred at star o involving fleets totaling ships with destroyed,train
0, ir icemoon aftershock http t . co m jdzmgjow djicemoon dubstep trapmusic dnb edm dance ices http t . co n uhasfkbv,train
0, ir icemoon aftershock http t . co vam podgyw djicemoon dubstep trapmusic dnb edm dance ices http t . co zevakjapcz,train
0, funkylilshack mariaf i want a full on bitch slapping guns blazing cake throwing charles showdown ! ! now that will be worth the wait ? ? ? ? ,train
0,ems ny emts petition for per hour minimum wage http t . co oa swlxmr ems paramedics ambulance,train
0,officially skipping out on fantasticfour fant stic whatever the hashtag is . it s getting annihilated in reviews . bummer . ,train
0,anxiety attack ? ? ,train
0,i ve been by the pool all day raisinfingers,train
0, eunice njoki aiii she needs to chill and answer calmly its not like she s being attacked,train
0, vegetarian vegan video shows arsonist torching popular bk restaurant strictly vegetarian . . . http t . co kxplyom rr govegan uniteblue,train
0,london is cool ,train
0,minecraft night lucky block mod bob apocalypse wither . amp more ! mod showcase popularmmos http t . co tngye fklv via youtube,train
0, onu france bioterrorism on rockefeller chi rockefelleruniv heiress evade lgl efforts prosecute blks harvardu kidnap g . afp,train
0,you must be annihilated ! ,train
0,the blazing elwoods blazingelwoods don t bother me doug s song tune http t . co qyzpb gkmr,train
0,julie r is the apocalypse version of romeo juliet warmbodies,train
0,if you don t have anything nice to say you can come sit with me . ,train
0,summer is lovely,train
0, barbi twins we need help horses will die ! please rt amp sign petition ! take a stand amp be a voice for them ! gilbert https t . co e dl lncvu,train
0,santa cruz head of the st elizabeth police superintendent lanford salmon has r . . . http t . co vplr hka u http t . co sxhw tnnlf,train
0, show me a hero tv review http t . co kaccpk wf http t . co nnixodhigc,train
0,check these out http t . co roi nsmejj http t . co tj zjin http t . co yduixefipe http t . co lxtjc kls nsfw,train
0,red faction armageddon microsoft xbox full read by ebay http t . co ypbvs ijya http t . co dflv ynqr,train
0,revel in yours wmv videos by means of mac farewell ablaze wmv en route to dvd gtxrwm,train
0, local arsonist i guess u can say that it s just some shit i was thinking about,train
0, enews ben affleck . . . . . . i know there s a wife kids and other girls but i can t help it . i ve loved him since armageddon eonlinechat,train
0,people who say it cannot be done should not interrupt those who are doing it . george bernard shaw,train
0,can wait to see how pissed donnie is when i tell him i was in another accident ? ? ,train
0, . beyonce is my pick for http t . co thoyhrhkfj fan army beyhive http t . co wvj a bgm,train
0,fedex no longer to transport bioterror germs in wake of anthrax lab mishaps http t . co qzqc wwwcn via usatoday,train
0, ? ? ? ? it was an accident http t . co oia fxi gm,train
0,kill i got court the day after earl,train
0, sonofbaldwin and he s the current nova in the bookslast i checked . . he was tied into the books in after rider died during annihilation,train
0,i cant believe a fucking cis female is going to somehow claim to be offended over a transgendered female who s been attacked by media,train
0,smoke good fuck eat drink drive nice car wear all green mink,train
0,thank you fedex for no longer shipping live microbes for the department of defense http t . co zahnewjri ,train
0, local arsonist lmfao,train
0,secrets up avalanche catechize inner self for the confidential communication as respects creating worth in len . . . ,train
0,your phone is spying on you ! hidden back door nsa data mining software the financial armageddon blog http t . co qycw jjaj ,train
0, mageavexis lt things . and what if we get attacked ? ,train
0,vote for directioners vs queens in the th round of the billboard fanarmyfaceoff http t . co kgtxnnbj y,train
0,musician kalle mattson recreates classic album covers in clever music video for avalanche http t . co vbswhz s v,train
0,one direction is my pick for http t . co q eblokeve fan army directioners http t . co encmhz y x ,train
0,european fitba till christmas armageddon,train
0, . bigperm was drafted by the avalanche in rd . overall . played last season in utahgrizz . http t . co gpgtafmkt ,train
0,fedex no longer will ship potential bioterror pathogens atlanta business chronicle http t . co yllqjljiiq,train
0,progressive greetings ! in about a month students would have set their pens ablaze in the torch publications . . . http t . co fxpixqujt,train
0,owner of chicago area gay bar admits to arson scheme http t . co tslqjokvh via theadvocatemag lgbt,train
0, . beyonce is my pick for http t . co thoyhrhkfj fan army beyhive http t . co wvj a bgm,train
0,beautiful sweet avalanche faith and akito roses with lots of frothy gyp . http t . co raqupzfkjy weddinghour http t . co qunxocxcga,train
0,i m feeling so attacked https t . co cvkqigr az,train
0, world fedex no longer to transport bioterror germs in wake of anthrax lab mishaps http t . co zdbtktww ,train
0, shayoly yes i love it,train
0, im gonna beat armageddon as hsu hao ? ? ? ? just got a flawless on my first try,train
0, the only thing that stands between you and your dream is the will to try and the belief that it is actually possible . joel brown,train
0,the mixtape is coming i promise . we goin in right now http t . co uungrqougn,train
0,one direction is my pick for http t . co q eblokeve fan army directioners http t . co encmhz y x ,train
0,wwi wwii japanese army navy military japan leather watch war mido ww full read by ebay http t . co obfd e qcp http t . co yazje owvk,train
0, sexydragonmagic i ve come to the realization that i just don t have the attention span for mass battle games . both painting and playing . ,train
0, nowplaying arsonist mc so impressed arsonistmusic http t . co elreh jlj,train
0,dragon ball z battle of gods rotten tomatoes http t . co jddnhmrmmj via rottentomatoes,train
0,i liked a youtube video from slimebeast http t . co ulr myklnh town of salem how to win as the arsonist,train
0,http t . co gkye gjtk had a personalinjury accident this summer ? read our advice amp see how a solicitor can help otleyhour,train
0,they sky was ablaze tonight in los angeles . i m expecting ig and fb to be filled with sunset shots if i know my peeps ! ! ,train
